tier,model_name,symbol,window,n_passed,win_rate,wilson_ci_lower,wilson_ci_upper,recency_weighted_ev,ev_per_trade,roi_pct,sharpe,raw_p,cross_cell_adj_p,best_confidence_threshold,wf_ev_pos_folds,wf_n_folds,wf_mean_roi_pct,wf_robust,walk_forward_skipped,walk_forward_skip_reason,train_win_rate,test_win_rate,train_test_gap_pct,decay_slope_negative,kelly_multiplier,tier_reason
watch,h1200_sol_v3_89d_20260427,SOLUSDT,1800,46,0.630435,0.486001,0.754762,0.13513,0.13513,13.513,1.9784,0.038422,0.920036,0.53,,,,,True,error: timed out,,,,False,0.0,raw_p=0.0384<0.05 but 4 gold criteria failed: n_passed=46<50; wilson_ci_lower=0.4860<=0.515; walk_forward_skipped:insufficient_data
watch,h1200_btc_v3_329d_20260506,BTCUSDT,1800,48,0.666667,0.525401,0.783232,0.126729,0.126729,12.6729,1.8291,0.010461,0.920036,0.51,4,5,51.2944,True,False,,1.0,1.0,0.0,False,0.0,raw_p=0.0105<0.05 but 2 gold criteria failed: n_passed=48<50; cross_cell_adj_p=0.920036 not<0.05
watch,h1800_btc_v3_89d_20260506,BTCUSDT,1800,48,0.625,0.483628,0.747847,0.115062,0.115062,11.5062,1.6497,0.041632,0.920036,0.54,4,5,51.2944,True,False,,1.0,1.0,0.0,False,0.0,raw_p=0.0416<0.05 but 3 gold criteria failed: n_passed=48<50; wilson_ci_lower=0.4836<=0.515; cross_cell_adj_p=0.920036 not<0.05
watch,h900_sol_v3_179d_20260427,SOLUSDT,1800,46,0.630435,0.486001,0.754762,0.110348,0.110348,11.0348,1.591,0.038422,0.920036,0.52,,,,,True,error: timed out,,,,False,0.0,raw_p=0.0384<0.05 but 4 gold criteria failed: n_passed=46<50; wilson_ci_lower=0.4860<=0.515; walk_forward_skipped:insufficient_data
watch,h1800_sol_v3_329d_20260427,SOLUSDT,1800,46,0.630435,0.486001,0.754762,0.099261,0.099261,9.9261,1.4166,0.038422,0.920036,0.5,,,,,True,error: timed out,,,,False,0.0,raw_p=0.0384<0.05 but 4 gold criteria failed: n_passed=46<50; wilson_ci_lower=0.4860<=0.515; walk_forward_skipped:insufficient_data
watch,h1200_btc_v3_179d_20260506,BTCUSDT,1800,48,0.625,0.483628,0.747847,0.098396,0.098396,9.8396,1.399,0.041632,0.920036,0.51,4,5,51.2944,True,False,,1.0,1.0,0.0,False,0.0,raw_p=0.0416<0.05 but 3 gold criteria failed: n_passed=48<50; wilson_ci_lower=0.4836<=0.515; cross_cell_adj_p=0.920036 not<0.05
watch,h300_eth_v3_329d_20260506,ETHUSDT,300,288,0.548611,0.490875,0.605068,0.034194,0.034194,3.4194,1.1561,0.04948,0.920036,,1,5,-2.1138,False,False,,,,,,0.0,raw_p=0.0495<0.05 but 3 gold criteria failed: wilson_ci_lower=0.4909<=0.515; wf_ev_pos_folds=1/5<2/3; cross_cell_adj_p=0.920036 not<0.05
watch,h60_btc_v3_329d_20260506,BTCUSDT,300,288,0.548611,0.490875,0.605068,0.023222,0.023222,2.3222,0.8083,0.04948,0.920036,0.54,2,5,-0.6218,False,False,,,,,,0.0,raw_p=0.0495<0.05 but 3 gold criteria failed: wilson_ci_lower=0.4909<=0.515; wf_ev_pos_folds=2/5<2/3; cross_cell_adj_p=0.920036 not<0.05
blocked,h600_sol_v3_89d_20260427,SOLUSDT,1800,46,0.608696,0.464568,0.736068,0.121217,0.121217,12.1217,1.7588,0.070184,0.920036,0.55,,,,,True,error: timed out,,,,False,0.0,no significant edge or insufficient data; n_passed=46<50; wilson_ci_lower=0.4646<=0.515; walk_forward_skipped:insufficient_data
blocked,h1200_sol_v3_329d_20260427,SOLUSDT,1800,46,0.586957,0.443395,0.717114,0.08187,0.08187,8.187,1.1644,0.119092,0.920036,0.5,,,,,True,error: timed out,,,,False,0.0,no significant edge or insufficient data; n_passed=46<50; wilson_ci_lower=0.4434<=0.515; walk_forward_skipped:insufficient_data
